,A,B,C,D,E,F,G,H
326,0.013,0.011,-0.013,0.013,-0.416,0.072,0.936,6123.306984061201
327,0.0,0.037,0.0,-0.033,-0.302,0.037,0.373,5847.412743211622
328,0.016,0.002,-0.019,0.014,-0.138,0.052,0.191,5410.377552736769
329,0.008,0.018,-0.002,-0.006,-0.258,0.046,-0.104,4865.282379428652
330,-0.006,0.02,-0.004,-0.024,0.445,0.022,0.284,4472.134071994573
331,0.002,0.024,-0.002,-0.018,0.255,0.002,0.63,4697.392781891715
332,0.0,0.007,-0.014,0.013,-0.149,0.013,0.429,4820.665601564295
333,0.009,0.022,0.0,-0.009,-0.349,0.002,-0.042,4999.713254935617
334,0.01,0.008,-0.003,0.002,-0.353,0.0,-0.394,5303.454683406599
335,0.003,0.004,-0.018,0.01,0.345,0.004,-0.226,5269.35569815553
